rank,method,family,total_score,total_objective,total_penalty,is_valid,evaluation_num,seed,mask_id,param_threshold,param_wavelength_px,porosity,heat_exchange_area_proxy,hydraulic_resistance_proxy,flow_connectivity_score,dead_zone_fraction
1,random_search,primitive_2d,1233.3149024247457,1233.3149024247457,0.0,True,3,45,primitive_2d_s45_eval3,-0.029768437262659708,19.483977143644104,0.5874,1233.4936495384509,0.35749422741041,1.0,0.0
2,random_search,diamond_2d,1189.3188701813747,1189.3188701813747,0.0,True,71,113,diamond_2d_s113_eval71,-0.2263452405531084,23.433970125198968,0.716,1189.4348772969777,0.23201423120588768,1.0,0.0
3,random_search,diamond_2d,925.9871286388269,925.9871286388269,0.0,True,32,74,diamond_2d_s74_eval32,-0.20323693257983894,31.16570305879856,0.6982,926.0821146853782,0.18997209310267563,1.0,0.0
4,random_search,diamond_2d,867.5462987724627,867.5462987724627,0.0,True,33,75,diamond_2d_s75_eval33,-0.20861273837209893,32.53656712861772,0.708,867.6328432722821,0.17308899963885999,1.0,0.0
5,random_search,primitive_2d,858.9463061106557,858.9463061106557,0.0,True,93,135,primitive_2d_s135_eval93,-0.04447074817589408,28.096441519251393,0.5805,859.0737725975565,0.25493297380174884,1.0,0.0
6,random_search,diamond_2d,667.6768652841639,667.6768652841639,0.0,True,59,101,diamond_2d_s101_eval59,-0.23535543242646206,41.90266221711799,0.7366,667.7383989695536,0.12306737077948572,1.0,0.0
7,random_search,primitive_2d,665.826208168134,665.826208168134,0.0,True,92,134,primitive_2d_s134_eval92,-0.05245705843579179,36.1087505068554,0.5577,665.9332613111342,0.21410628600017934,0.5,0.00017930787161556393
8,random_search,primitive_2d,344.1044989580034,344.1044989580034,0.0,True,64,106,primitive_2d_s106_eval64,-0.2012353094507891,47.76152495171372,0.7905,344.13203435596427,0.05507079592175279,1.0,0.0
9,random_search,primitive_2d,338.44842326365546,338.44842326365546,0.0,True,99,141,primitive_2d_s141_eval99,-0.2006809663588331,47.23396653706076,0.7953,338.4751801064719,0.053513685632866834,1.0,0.0
